id,nw_lat,nw_lon,se_lat,se_lon
475,36.772204595641604,-119.76875198244423,36.7720702810432,-119.76853751105723
3531,36.7723042822576,-119.76780361677984,36.7721699676592,-119.76758914539282
1121,36.7719705944272,-119.76954284568382,36.771836279828804,-119.7693283742968
2743,36.7718992397968,-119.7670345357905,36.771764925198404,-119.76682006440349
2905,36.771907634459204,-119.76707642473326,36.7717733198608,-119.76686195334626
873,36.7715088879952,-119.76680163326867,36.7713745733968,-119.76658716188166
3180,36.7716138212752,-119.76633080155189,36.7714795066768,-119.76611633016489
1125,36.7712937747712,-119.76965678360816,36.771159460172804,-119.76944231222114
112,36.7713074160976,-119.76960819243453,36.7711731014992,-119.76939372104752
1756,36.771357784072,-119.76958305906886,36.771223469473604,-119.76936858768187
2505,36.771367228067206,-119.76963165024247,36.7712329134688,-119.76941717885549
1065,36.7714217933728,-119.76962662356935,36.771287478774404,-119.76941215218235
2720,36.7714501253584,-119.76964505470417,36.77131581076,-119.76943058331716
491,36.7714144480432,-119.76955457458777,36.771280133444805,-119.76934010320078
1194,36.771384017392,-119.76954954791466,36.771249702793604,-119.76933507652764
1802,36.7714029053824,-119.76957300572259,36.771268590784004,-119.7693585343356
2045,36.770801637688,-119.7698327171678,36.770667323089604,-119.76961824578079
2891,36.770776453700805,-119.76978245043647,36.77064213910241,-119.76956797904947
900,36.7707470723824,-119.76971877924345,36.77061275778401,-119.76950430785647
2036,36.7708425616672,-119.76959813908826,36.770708247068804,-119.76938366770126
2621,36.770784848363206,-119.76969867255093,36.77065053376481,-119.76948420116392
1119,36.7707628123744,-119.76951938787585,36.770628497776,-119.76930491648884
2441,36.770475295187204,-119.76847886653735,36.7703409805888,-119.76826439515034
3354,36.770453259198405,-119.7685174043647,36.77031894460001,-119.76830293297769
3160,36.7705067751712,-119.76671785538312,36.7703724605728,-119.76650338399612
2521,36.770536156489605,-119.76674969097964,36.7704018418912,-119.76653521959264
278,36.7705193671648,-119.76666256197866,36.770385052566404,-119.76644809059167
107,36.7699243954672,-119.76858442667313,36.7697900808688,-119.76836995528612
1203,36.7701164233696,-119.76691724675072,36.7699821087712,-119.76670277536373
3377,36.7700943873808,-119.76682676663432,36.7699600727824,-119.76661229524734
2386,36.77157919329281,-119.76862799117362,36.7714448786944,-119.7684135197866
3153,36.7715802426256,-119.7685643199806,36.771445928027205,-119.7683498485936
1759,36.770618004448,-119.76578792085354,36.7704836898496,-119.76557344946653
13,36.7705938697936,-119.7658582942774,36.7704595551952,-119.7656438228904
194,36.77055189648161,-119.76576111193017,36.7704175818832,-119.76554664054316
1144,36.7722560129488,-119.76530033355965,36.772121698350404,-119.76508586217264
1120,36.7722381742912,-119.76490322638216,36.772103859692805,-119.76468875499515
904,36.7722224342992,-119.76483285295829,36.772088119700804,-119.7646183815713
1246,36.7722937889296,-119.7631975086324,36.772159474331204,-119.76298303724539
3425,36.7721175010192,-119.76552150717751,36.7719831864208,-119.76530703579049
1454,36.772144783672005,-119.76553156052377,36.7720104690736,-119.76531708913676
1562,36.77213848767521,-119.7654913471387,36.7720041730768,-119.76527687575171
671,36.77212064901761,-119.76546286265761,36.7719863344192,-119.76524839127062
3135,36.7720734290416,-119.76481274626576,36.7719391144432,-119.76459827487875
3150,36.7720797250384,-119.76476080397673,36.771945410440004,-119.76454633258973
1668,36.7719023877952,-119.7645597370514,36.7717680731968,-119.7643452656644
2087,36.771874055809604,-119.76458319485936,36.771739741211206,-119.76436872347236
3072,36.7712864294416,-119.76197770261882,36.771152114843204,-119.76176323123182
2510,36.7712832814432,-119.76192743588749,36.771148966844805,-119.76171296450049
1280,36.771284330776005,-119.7619291114452,36.7711500161776,-119.7617146400582
1672,36.7712255681392,-119.76189224917556,36.7710912535408,-119.76167777778856
705,36.770780651032005,-119.76294449941804,36.7706463364336,-119.76273002803104
3021,36.7707344803888,-119.76297633501456,36.770600165790405,-119.76276186362756
892,36.77073238172321,-119.76290428603298,36.7705980671248,-119.76268981464598
2576,36.7707292337248,-119.76288753045587,36.7705949191264,-119.76267305906887
2238,36.770570784472,-119.76557680058195,36.7704364698736,-119.76536232919496
977,36.7701521006848,-119.76204640048498,36.7700177860864,-119.76183192909797
49,36.7699600727824,-119.76299141503395,36.769825758184005,-119.76277694364695
150,36.771313712094404,-119.76196262259943,36.771179397496,-119.76174815121242
866,36.7704742458544,-119.7639163228904,36.770339931256004,-119.7637018515034
1581,36.774983228896005,-119.76914741406401,36.7748489142976,-119.76893294267701
2000,36.774934959587206,-119.76913736071775,36.77480064498881,-119.76892288933075
157,36.774949650246405,-119.7691758985451,36.774815335648,-119.7689614271581
3226,36.77482687830881,-119.76629058816684,36.7746925637104,-119.76607611677983
60,36.7747618196752,-119.76830125741999,36.7746275050768,-119.76808678603297
1188,36.774674725052805,-119.76819402172649,36.77454041045441,-119.76797955033948
2206,36.7745666437744,-119.76753217643065,36.774432329176,-119.76731770504364
2240,36.774596025092805,-119.76745007410281,36.7744617104944,-119.76723560271581
2091,36.774605469088,-119.76750536750728,36.7744711544896,-119.76729089612027
3471,36.774610715752004,-119.76708982919496,36.7744764011536,-119.76687535780795
862,36.774562446443205,-119.76708982919496,36.77442813184481,-119.76687535780795
794,36.7743420865552,-119.76874695577109,36.7742077719568,-119.76853248438411
1164,36.774337889224,-119.76872182240544,36.7742035746256,-119.76850735101843
3509,36.774283323918404,-119.76872852463629,36.77414900932,-119.76851405324928
756,36.774508930470404,-119.76730262502426,36.774374615872006,-119.76708815363725
669,36.7743683198752,-119.76756568758486,36.7742340052768,-119.76735121619787
658,36.7743504812176,-119.76761092764306,36.7742161666192,-119.76739645625607
3336,36.7743567772144,-119.76747018079536,36.774222462616,-119.76725570940835
